Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
392,12657841,No," Charles W HogueJr,",The importance of prior stroke for the adjusted risk of neurologic injury after cardiac surgery for women and men.,Anesthesiology,2003 Apr,Epidemiology,Human,2972
393,12214323,No," Rajesh Krishna, Nuggehally Srinivas",Pharmacokinetics and dose proportionality of BMS-204352 after intraarterial administration to rats.,Biopharmaceutics & drug disposition,2002 Sep,Management,Rat,na
394,12399786,No," Lise A Labiche, Lewis B Morgenstern",Sex and acute stroke presentation.,Annals of emergency medicine,2002 Nov,Clinical,Human,1124
395,12078059,No," Jagdish C Sharma, Michael Vassallo",Characteristics and mortality of acute stroke patients: are there any gender differences?,The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia,2002 May-Jun,Epidemiology,Human,296
396,11988590,No," Carma Ayala, George A Mensah","Sex differences in US mortality rates for stroke and stroke subtypes by race/ethnicity and age, 1995-1998.","Stroke, a journal of cerebral circulation",2002 May,Epidemiology,Human,633299
397,11891506,Yes," Martin W McBride, Anna F D Dominiczak",Genetic and gender determinants of cerebrovascular disease.,Seminars in nephrology,2002 Mar,Review,Mouse/Rat,na
398,11744660,No," Shao-Hua Yang, James W Simpkins",Testosterone increases neurotoxicity of glutamate in vitro and ischemia-reperfusion injury in an animal model.,"Journal of applied physiology (Bethesda, Md. : 1985)",2002 Jan,Pathophysiology,Human cc Rat,na
399,11935036,No," Bradford B Worrall, Philip B Gorelick",Stroke risk factor profiles in African American women: an interim report from the African-American Antiplatelet Stroke Prevention Study.,"Stroke, a journal of cerebral circulation",2002 Apr,Epidemiology,Human,1087
400,11932674,No," Timur P Sarac, Kenneth Ouriel",Gender as a primary predictor of outcome after carotid endarterectomy.,"Journal of vascular surgery : official publication, the Society for Vascular Surgery [and] International Society for Cardiovascular Surgery, North American Chapter",2002 Apr,Management,Human,3077
401,11472361,No," K Kain, P J Grant",Decreased fibrinolytic potential in South Asian women with ischaemic cerebrovascular disease.,British journal of haematology,2001 Jul,Pathophysiology,Human,230
402,11153537,No," K Mizutani, Y Yamori",Protective effect of resveratrol on oxidative damage in male and female stroke-prone spontaneously hypertensive rats.,Clinical and experimental pharmacology & physiology,2001 Jan-Feb,Pathophysiology,Rat,na
403,11870335,No," Y Wu, K Sumino",Methylenetetrahydrofolate reductase gene polymorphism and ischemic stroke: sex difference in Japanese.,The Kobe journal of medical sciences,2001 Dec,Pathophysiology,Human,306
404,11323528,No," J B Salom, E Alborch",Relaxant effects of 17-beta-estradiol in cerebral arteries through Ca(2+) entry inhibition.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2001 Apr,Pathophysiology,Rab,na
405,10996139,No," M D Vergouwen, F B Meyer",Gender differences and the effects of synthetic exogenous and non-synthetic estrogens in focal cerebral ischemia.,Brain research,2000 Sep 29,Pathophysiology,Rat,na
406,11059516,No," T Saito, T Furukawa",Importance of sex and age factor in assessing family history of stroke.,Journal of epidemiology / Japan Epidemiological Association,2000 Sep,Epidemiology,Human,2316
407,11062285,No," M R Di Tullio, S Homma",Gender differences in the risk of ischemic stroke associated with aortic atheromas.,"Stroke, a journal of cerebral circulation",2000 Nov,Management,Human,152
408,11062284,No," Y Tanizaki,",Incidence and risk factors for subtypes of cerebral infarction in a general population: the Hisayama study.,"Stroke, a journal of cerebral circulation",2000 Nov,Epidemiology,Human,1621
409,10833057,Yes," R L Roof, E D Hall",Gender differences in acute CNS trauma and stroke: neuroprotective effects of estrogen and progesterone.,Journal of neurotrauma,2000 May,Review,Human/Rat,na
410,10894311,No," S Ramani, M A Moskowitz",Gender differences in the treatment of cerebrovascular disease.,Journal of the American Geriatrics Society,2000 Jul,Management,Human,6283
411,10625733,No," N J Alkayed, V M Miller",Neuroprotective effects of female gonadal steroids in reproductively senescent female rats.,"Stroke, a journal of cerebral circulation",2000 Jan,Pathophysiology,Rat,na
412,11186229,No," R L Roof, E D Hall",Estrogen-related gender difference in survival rate and cortical blood flow after impact-acceleration head injury in rats.,Journal of neurotrauma,2000 Dec,Pathophysiology,Rat,na
413,10926943,No," J M Holroyd-Leduc, J V Tu",Sex differences and similarities in the management and outcome of stroke patients.,"Stroke, a journal of cerebral circulation",2000 Aug,Management,Human,44832
414,10753993,No," K R Brittain, C M Castleden",Prevalence and impact of urinary symptoms among community-dwelling stroke survivors.,"Stroke, a journal of cerebral circulation",2000 Apr,Outcomes,Human,10226
415,10779008,Yes," P D Hurn,",Estrogen as a neuroprotectant in stroke.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2000 Apr,Review,Human,na
416,11252851,Yes, T B Wyller,Stroke and gender.,The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia,1999 May-Jun,Review,Human,na
417,10329446,No," V N Trieu, F M Uckun",Genistein is neuroprotective in murine models of familial amyotrophic lateral sclerosis and stroke.,Biochemical and biophysical research communications,1999 May 19,Pathophysiology,Mouse,na
418,10228892,No," M Kellermann, D Bereczki",Screening for depressive symptoms in the acute phase of stroke.,General hospital psychiatry,1999 Mar-Apr,Outcomes,Human,82
419,10397694,No," M Margaglione, G Di Minno",Inherited prothrombotic conditions and premature ischemic stroke: sex difference in the association with factor V Leiden.,"Arteriosclerosis, thrombosis, and vascular biology",1999 Jul,Pathophysiology,Human,202
420,10582970,No," G W Petty, D O Wiebers",Ischemic stroke subtypes: a population-based study of incidence and risk factors.,"Stroke, a journal of cerebral circulation",1999 Dec,Epidemiology,Human,454
421,10436090,No," T H Wein, L B Morgenstern",Race/ethnicity and location of stroke mortality: implications for population-based studies.,"Stroke, a journal of cerebral circulation",1999 Aug,Epidemiology,?,52996
422,9547465,No," S Paradiso, R G Robinson",Gender differences in poststroke depression.,The Journal of neuropsychiatry and clinical neurosciences,1998 Season=Winter,Outcomes,Human,301
423,9756582,No," D T Lackland, H Kohli",The geographic variation in stroke incidence in two areas of the southeastern stroke belt: the Anderson and Pee Dee Stroke Study.,"Stroke, a journal of cerebral circulation",1998 Oct,Epidemiology,Human,na
424,9688926,No," G G Geary, S P Duckles",Estrogen reduces myogenic tone through a nitric oxide-dependent mechanism in rat cerebral arteries.,The American journal of physiology,1998 Jul,Pathophysiology,Rat,na
425,9445346,No," N J Alkayed, P D Hurn",Gender-linked brain injury in experimental stroke.,"Stroke, a journal of cerebral circulation",1998 Jan,Pathophysiology,Rat,na
426,10024190,No," D R Parker,",Short stature and cardiovascular disease among men and women from two southeastern New England communities.,International journal of epidemiology,1998 Dec,Epidemiology,Human,6567
427,9710176,No," K Hachisuka, H Ogata","Gender differences in disability and lifestyle among community-dwelling elderly stroke patients in Kitakyushu, Japan.",Archives of physical medicine and rehabilitation,1998 Aug,Outcomes,Human,162
428,9199870,No," T B Wyller, E Bautz-Holter",Are there gender differences in functional outcome after stroke?,Clinical rehabilitation,1997 May,Outcomes,Human,165
429,9102181,No," A M Carter,","Gender-specific associations of the fibrinogen B beta 448 polymorphism, fibrinogen levels, and acute cerebrovascular disease.","Arteriosclerosis, thrombosis, and vascular biology",1997 Mar,Pathophysiology,Human,502
430,8996484,No," G Y Lip, D G Beevers",Ambulatory blood pressure monitoring in acute stroke. The West Birmingham Stroke Project.,"Stroke, a journal of cerebral circulation",1997 Jan,Clinical,Human,86
431,9150514,Yes," J McGlone, S E Black",Are there sex differences in hemispatial visual neglect after unilateral stroke?,"Neuropsychiatry, neuropsychology, and behavioral neurology",1997 Apr,Review,Human,138
432,8898802,No," M Peltonen,",Age-period-cohort effects on stroke mortality in Sweden 1969-1993 and forecasts up to the year 2003.,"Stroke, a journal of cerebral circulation",1996 Nov,Outcomes,Human,na
433,9119552,No," J M Starr, L J Whalley",Population risk factors for hospitalization for stroke in Scotland.,International journal of epidemiology,1996 Apr,Epidemiology,Human,na
434,7574464,No," P M Pedersen, T S Olsen","Aphasia in acute stroke: incidence, determinants, and recovery.",Annals of neurology,1995 Oct,Outcomes,Human,881
435,7922475,No," D B Hier, P A Wolf",Gender and aphasia in the Stroke Data Bank.,Brain and language,1994 Jul,Outcomes,Human,na
436,8160224,No," T Truelsen, G Boysen",Comparison of probability of stroke between the Copenhagen City Heart Study and the Framingham Study.,"Stroke, a journal of cerebral circulation",1994 Apr,Epidemiology,Human,19698
437,8419781,No," C S Anderson, E G Stewart-Wynne","Determining the incidence of different subtypes of stroke: results from the Perth Community Stroke Study, 1989-1990.",The Medical journal of Australia,1993 Jan 18,Epidemiology,Human,138708
438,8419780,No," C S Anderson, E G Stewart-Wynne","Ascertaining the true incidence of stroke: experience from the Perth Community Stroke Study, 1989-1990.",The Medical journal of Australia,1993 Jan 18,Epidemiology,Human,492
439,1608490,No," D Chen, R P Hirsch",Stroke in China (Sino-MONICA-Beijing study) 1984-1986.,Neuroepidemiology,1992,Epidemiology,Human,2593
440,1997500,No," E D Hall, K L Linseman",Sex differences in postischemic neuronal necrosis in gerbils.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,1991 Mar,Pathophysiology,Gerbil,na
441,2467450,No," U Ritterfeld, P Oster",Sex-dependent therapeutic success in therapy of aphasia in the elderly,Zeitschrift für Gerontologie,1988 Sep-Oct,Outcomes,Human,na
442,3629557,No," T K Lee, T L Kuo",Comparison of the effect of acetylsalicylic acid on platelet function in male and female patients with ischemic stroke.,Thrombosis research,1987 Aug 1,Management,Human,na
443,3727919,No," K Radhakrishnan, M E Mousa","Stroke in the young: incidence and pattern in Benghazi, Libya.",Acta neurologica Scandinavica,1986 Apr,Epidemiology,Human,329
444,2411851,No," M T Sarno, E Levita",Gender and recovery from aphasia after stroke.,The Journal of nervous and mental disease,1985 Oct,Outcomes,Human,na
445,3966251,No," M Fisher, R Zipser",Increased excretion of immunoreactive thromboxane B2 in cerebral ischemia.,"Stroke, a journal of cerebral circulation",1985 Jan-Feb,Pathophysiology,Human,30
446,6671398,No," J Inglis, T N Monga",Sex differences in the cognitive effects of unilateral brain damage: comparison of stroke patients and normal control subjects.,"Cortex, a journal devoted to the study of the nervous system and behavior",1983 Dec,Outcomes,Human,na
447,7470839,No," A Kertesz, A Sheppard","The epidemiology of aphasic and cognitive impairment in stroke: age, sex, aphasia type and laterality differences.",Brain : a journal of neurology,1981 Mar,Outcomes,Human,na
448,7368243,No," B Herman, C W Frenken","Epidemiology of stroke in Tilburg, The Netherlands. The population-based stroke incidence register: 1. Introduction and preliminary results.","Stroke, a journal of cerebral circulation",1980 Mar-Apr,Epidemiology,Human,516
449,351394,No,,A randomized trial of aspirin and sulfinpyrazone in threatened stroke. The Canadian Cooperative Study Group.,The New England journal of medicine,1978 Jul 13,Management,Human,585
